0	1	2		
4.300000	14.246137	33.656300		
4.305000			3.093465	13.571568
4.310000	14.277072	33.792448		
4.315000			3.093471	13.614783
4.320000	14.308007	33.929029		
4.325000			3.093477	13.658097
4.330000	14.338941	34.066044		
4.335000			3.093483	13.701511
4.340000	14.369876	34.203494		
4.345000			3.093489	13.745025
4.350000	14.400811	34.341381		
4.355000			3.093495	13.788639
4.360000	14.431746	34.479704		
4.365000			3.093500	13.832353
4.370000	14.462681	34.618466		
4.375000			3.093506	13.876167
4.380000	14.493616	34.757667		
4.385000			3.093511	13.920080
4.390000	14.524552	34.897308		
4.395000			3.093517	13.964094
4.400000	14.555487	35.037390		
4.405000			3.093522	14.008207
4.410000	14.586422	35.177914		
4.415000			3.093528	14.052421
4.420000	14.617357	35.318881		
4.425000			3.093533	14.096734
4.430000	14.648293	35.460293		
4.435000			3.093539	14.141147
4.440000	14.679228	35.602149		
4.445000			3.093544	14.185660
4.450000	14.710164	35.744452		
4.455000			3.093549	14.230273
4.460000	14.741099	35.887202		
4.465000			3.093554	14.274986
4.470000	14.772035	36.030400		
4.475000			3.093559	14.319799
4.480000	14.802971	36.174047		
4.485000			3.093564	14.364711
4.490000	14.833906	36.318144		
4.495000			3.093570	14.409724
4.500000	14.864842	36.462693		
