Wähle das Verfahren (n = 1000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog: 
Verfahren: Runge-Kutter
87.9 -0.00338514 -0.484039
88 -0.0275268 -0.47848
88.1 -0.0513905 -0.466761
88.2 -0.0746689 -0.449009
88.3 -0.0970611 -0.425414
88.4 -0.118276 -0.396231
88.5 -0.138034 -0.361771
88.6 -0.156074 -0.322403
88.7 -0.172149 -0.278545
88.8 -0.186036 -0.230667
88.9 -0.197534 -0.179279
89 -0.20647 -0.12493
89.1 -0.212694 -0.0682023
89.2 -0.216088 -0.00970286
89.3 -0.216565 0.0499401
89.4 -0.214067 0.110085
89.5 -0.208569 0.170082
89.6 -0.200078 0.229282
89.7 -0.188635 0.287042
89.8 -0.174312 0.342729
89.9 -0.157211 0.395731
90 -0.137468 0.445462
90.1 -0.115244 0.491366
90.2 -0.0907311 0.532923
90.3 -0.0641462 0.569658
90.4 -0.0357297 0.601142
90.5 -0.0057437 0.626996
90.6 0.0255311 0.646898
