Wähle das Verfahren (n = 5000) (1) exp. Euler, (2) Runge-Kutter, (3) leap-frog, (4) Verlet Verfahren: 
Verfahren: Verlet
0 0 1
4.9 -0.980547 0.186532 0.498133
4.91 -0.978534 0.196347 0.498041
4.92 -0.976424 0.206143 0.497949
4.93 -0.974216 0.215918 0.497858
4.94 -0.97191 0.225671 0.497769
4.95 -0.969508 0.235401 0.49768
4.96 -0.967008 0.245109 0.497592
4.97 -0.964412 0.254791 0.497504
4.98 -0.961719 0.264448 0.497418
4.99 -0.95893 0.274079 0.497333
5 -0.956046 0.283682 0.497249
5.01 -0.953065 0.293257 0.497166
5.02 -0.94999 0.302803 0.497085
5.03 -0.946819 0.312318 0.497004
5.04 -0.943553 0.321802 0.496925
5.05 -0.940194 0.331254 0.496847
5.06 -0.93674 0.340673 0.49677
5.07 -0.933193 0.350057 0.496694
5.08 -0.929552 0.359407 0.49662
5.09 -0.925818 0.368721 0.496547
5.1 -0.921992 0.377997 0.496476
5.11 -0.918073 0.387236 0.496406
5.12 -0.914063 0.396437 0.496337
5.13 -0.909962 0.405597 0.49627
5.14 -0.905769 0.414718 0.496204
5.15 -0.901486 0.423796 0.49614
5.16 -0.897112 0.432833 0.496077
5.17 -0.892649 0.441826 0.496016
5.18 -0.888097 0.450774 0.495957
5.19 -0.883456 0.459678 0.495899
5.2 -0.878726 0.468536 0.495843
5.21 -0.873909 0.477347 0.495788
5.22 -0.869004 0.48611 0.495735
5.23 -0.864012 0.494824 0.495684
5.24 -0.858934 0.50349 0.495635
5.25 -0.85377 0.512104 0.495587
5.26 -0.848521 0.520668 0.495541
5.27 -0.843186 0.529179 0.495497
5.28 -0.837768 0.537638 0.495455
5.29 -0.832266 0.546043 0.495414
5.3 -0.82668 0.554393 0.495376
5.31 -0.821012 0.562687 0.495339
5.32 -0.815262 0.570926 0.495304
5.33 -0.80943 0.579107 0.495271
5.34 -0.803517 0.587231 0.49524
5.35 -0.797524 0.595295 0.49521
5.36 -0.791451 0.603301 0.495183
5.37 -0.785299 0.611246 0.495158
5.38 -0.779068 0.619129 0.495134
5.39 -0.77276 0.626951 0.495113
5.4 -0.766374 0.63471 0.495093
5.41 -0.759912 0.642406 0.495076
5.42 -0.753373 0.650037 0.49506
5.43 -0.74676 0.657604 0.495046
5.44 -0.740071 0.665104 0.495035
5.45 -0.733309 0.672539 0.495025
5.46 -0.726473 0.679906 0.495017
5.47 -0.719565 0.687204 0.495012
5.48 -0.712584 0.694435 0.495008
5.49 -0.705533 0.701595 0.495006
5.5 -0.698411 0.708686 0.495007
5.51 -0.691219 0.715706 0.495009
5.52 -0.683958 0.722654 0.495013
5.53 -0.676628 0.72953 0.49502
5.54 -0.669231 0.736333 0.495028
5.55 -0.661767 0.743062 0.495038
5.56 -0.654237 0.749717 0.495051
5.57 -0.646641 0.756297 0.495065
5.58 -0.638981 0.762801 0.495081
5.59 -0.631256 0.769229 0.495099
5.6 -0.623469 0.775581 0.495119
5.61 -0.615619 0.781854 0.495142
5.62 -0.607708 0.78805 0.495166
5.63 -0.599736 0.794166 0.495192
5.64 -0.591704 0.800204 0.49522
5.65 -0.583613 0.806161 0.49525
5.66 -0.575463 0.812037 0.495281
5.67 -0.567256 0.817833 0.495315
5.68 -0.558992 0.823546 0.49535
5.69 -0.550673 0.829178 0.495388
5.7 -0.542298 0.834726 0.495427
5.71 -0.533869 0.840191 0.495468
5.72 -0.525386 0.845572 0.495511
5.73 -0.516851 0.850868 0.495556
5.74 -0.508265 0.856079 0.495602
5.75 -0.499627 0.861205 0.49565
5.76 -0.49094 0.866244 0.4957
5.77 -0.482203 0.871197 0.495752
5.78 -0.473419 0.876063 0.495805
5.79 -0.464587 0.880841 0.495861
5.8 -0.455708 0.885531 0.495917
5.81 -0.446784 0.890132 0.495976
5.82 -0.437815 0.894645 0.496036
5.83 -0.428803 0.899068 0.496097
5.84 -0.419747 0.903401 0.49616
5.85 -0.41065 0.907644 0.496225
5.86 -0.401511 0.911795 0.496291
5.87 -0.392333 0.915856 0.496359
5.88 -0.383115 0.919826 0.496428
5.89 -0.373859 0.923703 0.496498
5.9 -0.364565 0.927488 0.49657
5.91 -0.355235 0.93118 0.496644
5.92 -0.345869 0.934779 0.496718
5.93 -0.336469 0.938284 0.496794
5.94 -0.327035 0.941696 0.496872
5.95 -0.317569 0.945013 0.49695
5.96 -0.308071 0.948236 0.49703
5.97 -0.298542 0.951365 0.497111
5.98 -0.288983 0.954398 0.497193
5.99 -0.279395 0.957335 0.497276
6 -0.269779 0.960177 0.497361
6.01 -0.260137 0.962923 0.497446
6.02 -0.250468 0.965573 0.497532
6.03 -0.240774 0.968126 0.49762
6.04 -0.231056 0.970582 0.497708
6.05 -0.221315 0.972941 0.497797
6.06 -0.211552 0.975203 0.497888
6.07 -0.201768 0.977367 0.497979
6.08 -0.191963 0.979434 0.49807
6.09 -0.18214 0.981403 0.498163
6.1 -0.172298 0.983273 0.498256
6.11 -0.162439 0.985045 0.49835
6.12 -0.152564 0.986719 0.498445
6.13 -0.142673 0.988294 0.49854
6.14 -0.132768 0.98977 0.498636
6.15 -0.12285 0.991147 0.498733
6.16 -0.11292 0.992425 0.49883
6.17 -0.102978 0.993604 0.498927
6.18 -0.093026 0.994684 0.499025
6.19 -0.0830647 0.995664 0.499123
6.2 -0.0730951 0.996544 0.499222
6.21 -0.0631182 0.997325 0.499321
6.22 -0.053135 0.998006 0.49942
6.23 -0.0431464 0.998587 0.499519
6.24 -0.0331536 0.999069 0.499619
6.25 -0.0231574 0.99945 0.499719
6.26 -0.013159 0.999732 0.499818
6.27 -0.00315917 0.999913 0.499918
6.28 0.00684093 0.999995 0.500018
6.29 0.0168404 0.999977 0.500118
6.3 0.0268381 0.999858 0.500218
6.31 0.0368332 0.99964 0.500318
6.32 0.0468245 0.999321 0.500418
6.33 0.0568112 0.998903 0.500518
6.34 0.0667922 0.998385 0.500617
6.35 0.0767666 0.997767 0.500716
6.36 0.0867332 0.997049 0.500815
6.37 0.0966912 0.996232 0.500913
6.38 0.10664 0.995315 0.501012
6.39 0.116577 0.994298 0.501109
6.4 0.126503 0.993182 0.501207
6.41 0.136416 0.991966 0.501303
6.42 0.146316 0.990652 0.5014
6.43 0.156201 0.989238 0.501495
6.44 0.166071 0.987726 0.501591
6.45 0.175924 0.986114 0.501685
6.46 0.185759 0.984404 0.501779
6.47 0.195575 0.982596 0.501872
6.48 0.205373 0.980689 0.501965
6.49 0.215149 0.978684 0.502056
6.5 0.224904 0.976582 0.502147
6.51 0.234637 0.974382 0.502237
6.52 0.244346 0.972084 0.502326
6.53 0.254031 0.969689 0.502414
6.54 0.26369 0.967197 0.502501
